ticker,market,sector,sub_sector,market_cap,is_etf
IOC.NS,NSE,Oil & Gas,Oil & Gas,Large Cap,False
IOLCP.BO,BSE,Others,Diversified,Small Cap,False
IOLCP.NS,NSE,Others,Diversified,Small Cap,False
IONEXCHANG.BO,BSE,Others,Diversified,Small Cap,False
IONEXCHANG.NS,NSE,Others,Diversified,Small Cap,False
IPCALAB.BO,BSE,Healthcare,Healthcare,Small Cap,False
IPCALAB.NS,NSE,Healthcare,Healthcare,Small Cap,False
IPL.BO,BSE,Others,Diversified,Small Cap,False
IPL.NS,NSE,Others,Diversified,Small Cap,False
IRB.BO,BSE,Infrastructure,Infrastructure,Small Cap,False
IRB.NS,NSE,Infrastructure,Infrastructure,Small Cap,False
IRCON.BO,BSE,Others,Diversified,Small Cap,False
IRCON.NS,NSE,Others,Diversified,Small Cap,False
IRCTC.BO,BSE,Information Technology,Information Technology,Small Cap,False
IRCTC.NS,NSE,Information Technology,Information Technology,Mid Cap,False
IREDA.BO,BSE,Others,Diversified,Small Cap,False
IREDA.NS,NSE,Others,Diversified,Small Cap,False
IRFC.BO,BSE,Infrastructure,Infrastructure,Small Cap,False
IRFC.NS,NSE,Infrastructure,Infrastructure,Small Cap,False
IRIS.BO,BSE,Others,Diversified,Small Cap,False
IRIS.NS,NSE,Others,Diversified,Small Cap,False
IRISDOREME.BO,BSE,Others,Diversified,Small Cap,False
IRISDOREME.NS,NSE,Others,Diversified,Small Cap,False
IRMENERGY.BO,BSE,Others,Diversified,Small Cap,False
IRMENERGY.NS,NSE,Others,Diversified,Small Cap,False
ISFT.BO,BSE,Others,Diversified,Small Cap,False
ISFT.NS,NSE,Others,Diversified,Small Cap,False
ISGEC.BO,BSE,Others,Diversified,Small Cap,False
ISGEC.NS,NSE,Others,Diversified,Small Cap,False
ISHANCH.BO,BSE,Others,Diversified,Small Cap,False
ISHANCH.NS,NSE,Others,Diversified,Small Cap,False
ITBEES.NS,NSE,ETF,Sector ETF,Large Cap,True
ITC.BO,BSE,Consumer Goods,Consumer Goods,Large Cap,False
ITC.NS,NSE,Consumer Goods,Consumer Goods,Large Cap,False
ITCHOTELS.BO,BSE,Others,Diversified,Small Cap,False
ITCHOTELS.NS,NSE,Others,Diversified,Small Cap,False
ITDC.BO,BSE,Others,Diversified,Small Cap,False
ITDC.NS,NSE,Others,Diversified,Small Cap,False
ITI.BO,BSE,Others,Diversified,Small Cap,False
ITI.NS,NSE,Others,Diversified,Small Cap,False
IVALUE.BO,BSE,Others,Diversified,Small Cap,False
IVALUE.NS,NSE,Others,Diversified,Small Cap,False
IVC.BO,BSE,Others,Diversified,Small Cap,False
IVC.NS,NSE,Others,Diversified,Small Cap,False
IVP.BO,BSE,Others,Diversified,Small Cap,False
IVP.NS,NSE,Others,Diversified,Small Cap,False
IXIGO.BO,BSE,Others,Diversified,Small Cap,False
IXIGO.NS,NSE,Others,Diversified,Small Cap,False
IZMO.BO,BSE,Others,Diversified,Small Cap,False
IZMO.NS,NSE,Others,Diversified,Small Cap,False
